Time,Centre position X,Centre position Y
0.000,,
0.210,323,252
0.330,336,252
0.440,344,253
0.570,355,253
0.680,358,252
0.790,362,252
0.910,363,252
1.030,364,251
1.160,372,253
1.280,376,253
1.390,380,254
1.510,386,254
1.640,383,253
1.750,380,251
1.870,375,253
1.980,370,253
2.100,360,253
2.210,350,253
2.330,339,253
2.440,330,253
2.560,323,252
2.680,314,250
2.800,308,249
2.910,307,248
3.030,304,248
3.140,304,249
3.260,304,250
3.380,302,252
3.500,299,254
3.620,294,256
3.750,293,258
3.860,292,258
3.980,292,258
4.100,295,257
4.210,295,257
4.340,294,260
4.460,293,263
4.580,293,264
4.700,293,268
4.820,292,268
4.930,293,270
5.050,292,271
5.170,292,272
5.280,291,273
5.390,292,273
5.500,291,276
5.630,291,277
5.740,291,277
5.860,292,278
5.980,293,278
6.090,293,277
6.210,294,276
6.330,294,275
6.450,294,274
6.570,294,274
6.680,294,274
6.800,293,273
6.920,293,272
7.040,293,270
7.150,293,269
7.260,293,269
7.370,293,269
7.490,293,269
7.610,291,270
7.730,290,274
7.840,290,280
7.960,289,285
8.080,290,288
8.200,290,289
8.310,289,284
8.430,289,279
8.550,288,277
8.670,287,276
8.790,287,275
8.900,287,275
9.020,287,275
9.140,287,274
9.260,287,272
9.370,288,271
9.490,288,270
9.600,289,266
9.720,288,260
9.850,287,254
9.960,286,242
10.080,287,238
10.200,287,237
10.320,287,234
10.440,289,231
10.550,290,231
10.660,289,232
10.780,288,237
10.890,289,240
11.000,289,241
11.120,290,242
11.240,292,244
11.360,299,246
11.480,314,248
11.590,328,250
11.700,336,250
11.820,341,250
11.940,346,250
12.050,351,252
12.170,353,252
12.290,355,253
12.400,351,251
12.520,352,251
12.630,354,251
12.750,356,251
12.880,358,251
12.990,356,251
13.120,353,250
13.220,357,253
13.330,352,249
13.440,350,250
13.560,349,249
13.680,349,249
13.790,347,251
13.900,340,253
14.010,330,252
14.120,318,250
14.230,314,250
14.350,311,249
14.460,309,248
14.570,308,248
14.680,308,249
14.790,304,251
14.900,301,253
15.010,300,253
15.130,298,254
15.250,299,256
15.370,299,257
15.480,299,257
15.590,299,257
15.710,299,257
15.830,299,257
15.950,298,258
16.070,298,257
16.180,300,256
16.300,299,254
16.420,296,253
16.540,293,254
16.650,288,253
16.770,281,255
16.880,272,256
17.000,266,256
17.120,266,256
17.250,264,256
17.370,259,255
17.480,252,255
17.590,244,252
17.710,242,252
17.820,239,251
17.940,235,251
18.050,231,251
18.170,225,252
18.290,219,251
18.400,213,251
18.520,211,251
18.640,209,251
18.750,207,250
18.870,206,251
19.000,201,252
19.110,195,251
19.230,189,249
19.350,185,250
19.460,184,250
19.580,187,250
19.690,188,250
19.810,188,250
19.920,189,250
20.030,189,250
20.140,190,250
20.260,193,251
20.370,195,251
20.490,195,250
20.610,195,250
20.730,195,250
20.850,196,250
20.970,197,251
21.080,198,252
21.190,194,252
21.310,189,252
21.430,180,250
21.540,170,250
21.660,164,251
21.780,164,250
21.890,164,250
22.010,164,249
22.120,164,249
22.240,164,249
22.360,164,249
22.470,164,249
22.590,164,251
22.710,161,251
22.830,155,253
22.940,155,252
23.070,155,254
23.200,154,255
23.310,156,253
23.430,157,251
23.550,159,253
23.670,162,253
23.780,169,256
23.890,172,256
24.000,177,255
