Time,Centre position X,Centre position Y
0.000,,
0.190,293,130
0.310,292,129
0.430,291,124
0.550,289,118
0.660,288,117
0.780,288,115
0.880,288,115
1.000,288,114
1.120,288,113
1.250,289,111
1.370,290,111
1.480,290,111
1.600,291,111
1.720,290,111
1.840,289,110
1.960,288,108
2.080,287,108
2.210,286,107
2.320,286,104
2.440,286,104
2.560,285,103
2.680,284,103
2.800,284,102
2.910,284,102
3.030,284,102
3.140,284,102
3.250,284,103
3.380,284,103
3.490,284,104
3.600,284,104
3.720,283,105
3.840,282,105
3.950,282,105
4.070,281,106
4.190,282,106
4.310,283,107
4.430,283,107
4.540,285,108
4.670,286,106
4.780,286,104
4.900,286,103
5.010,285,102
5.130,286,102
5.240,286,101
5.360,287,101
5.470,286,101
5.580,286,101
5.700,286,102
5.830,286,103
5.940,287,103
6.060,289,103
6.180,289,103
6.290,290,103
6.450,290,103
6.560,291,102
6.690,291,102
6.800,291,102
6.920,291,102
7.040,291,102
7.160,290,103
7.280,289,103
7.390,288,103
7.500,288,103
7.620,286,102
7.730,286,102
7.840,286,102
7.960,286,101
8.070,286,101
8.190,286,101
8.290,285,100
8.400,286,101
8.520,286,102
8.640,286,103
8.760,286,103
8.870,285,102
8.990,284,103
9.110,284,103
9.220,283,102
9.340,283,102
9.450,282,102
9.560,283,102
9.690,284,104
9.800,284,104
9.920,284,106
10.040,285,107
10.160,287,106
10.270,289,106
10.400,290,104
10.510,290,105
10.640,291,105
10.750,291,105
10.860,292,106
10.970,292,106
11.090,291,106
11.210,291,106
11.330,290,106
11.440,289,107
11.560,289,106
11.680,289,105
11.800,288,105
11.920,288,104
12.040,288,102
12.160,288,101
12.280,287,101
12.400,287,101
12.510,287,101
12.620,287,101
12.740,287,101
12.840,288,102
12.960,289,103
13.070,287,102
13.190,287,102
13.310,286,104
13.420,285,106
13.530,285,106
13.650,284,107
13.780,284,107
13.890,284,107
14.000,284,107
14.120,285,107
14.240,287,108
14.360,287,111
14.470,286,112
14.590,287,116
14.700,289,119
14.820,288,125
14.940,290,131
15.060,290,138
15.180,290,148
15.290,291,151
15.410,290,158
15.530,289,164
15.650,289,173
15.760,290,180
15.880,288,187
15.990,287,193
16.100,287,201
16.220,285,210
16.330,285,216
16.450,285,223
16.570,284,227
16.690,284,234
16.800,285,239
16.910,284,243
17.040,285,243
17.150,285,241
17.270,286,243
17.390,287,242
17.500,286,240
17.620,284,244
17.740,283,248
17.860,281,248
17.970,280,246
18.080,278,247
18.190,276,248
18.310,276,249
18.430,276,249
18.540,277,247
18.660,279,247
18.770,279,246
18.880,279,247
19.000,280,250
19.120,282,255
19.230,284,258
19.360,286,263
19.470,287,267
19.590,287,270
19.700,288,271
19.820,288,269
19.920,287,264
20.040,286,260
20.160,285,257
20.280,284,255
20.400,282,254
20.510,282,253
20.630,279,253
20.740,271,255
21.500,227,249
21.620,219,248
21.740,213,248
21.850,205,249
21.970,194,252
22.090,188,254
22.200,185,254
22.310,184,254
22.430,183,255
22.540,183,255
22.650,183,255
22.770,184,255
22.880,188,253
23.010,188,253
23.120,182,251
23.240,181,253
23.360,182,252
23.470,182,252
23.590,185,253
23.710,191,253
23.830,199,252
23.940,202,251
24.060,202,251
24.180,202,252
24.300,205,252
24.410,212,252
24.530,214,253
24.650,216,254
24.760,216,254
24.870,217,254
24.990,217,253
25.120,217,254
25.230,218,254
25.350,217,254
25.460,216,254
25.580,215,254
25.700,215,254
25.820,220,253
25.940,230,254
26.050,237,253
26.170,244,253
26.290,253,253
26.410,262,251
26.530,267,251
26.640,270,250
26.760,268,250
26.890,269,249
27.010,273,246
27.130,276,244
27.250,278,242
27.370,279,241
27.480,278,241
27.600,278,242
27.720,278,243
27.830,278,241
27.940,277,239
28.060,277,239
28.170,277,238
28.280,277,239
28.390,276,240
28.520,276,243
28.650,278,244
28.770,281,244
28.880,284,245
28.990,286,246
29.120,292,247
29.240,296,248
29.350,300,249
29.460,301,250
29.580,301,250
29.690,301,250
29.810,306,250
29.920,313,249
30.030,322,249
30.130,330,247
30.240,340,246
30.360,347,246
30.480,357,245
30.590,363,246
30.720,372,247
30.840,380,249
30.950,386,249
31.070,392,250
31.190,402,253
31.310,410,253
31.430,414,253
31.550,419,254
31.670,419,254
31.780,420,252
31.900,424,251
32.010,423,252
32.130,422,252
32.240,423,251
32.360,421,251
32.470,423,252
32.580,423,252
32.690,422,253
32.800,419,252
32.920,421,252
33.040,423,255
33.160,423,255
33.280,423,254
33.380,425,255
33.500,425,254
33.620,425,252
33.740,428,253
33.850,430,253
34.020,429,253
34.140,428,253
34.250,424,253
34.370,422,254
34.490,424,254
34.610,425,253
34.720,422,251
34.840,418,251
34.960,415,251
