Time,Centre position X,Centre position Y
0.000,,
0.220,343,249
0.330,334,249
0.440,331,248
0.550,328,248
0.670,327,248
0.800,325,247
0.920,322,246
1.040,317,245
1.150,314,244
1.260,313,244
1.380,315,245
1.500,315,245
1.620,314,244
1.730,313,244
1.860,313,244
1.980,312,244
2.090,312,244
2.200,312,244
2.320,312,244
2.430,314,244
2.550,314,245
2.670,309,245
2.780,305,244
2.910,299,244
3.030,296,244
3.150,291,244
3.260,283,245
3.370,273,247
3.480,264,249
3.590,261,250
3.710,262,248
3.840,255,248
3.960,247,248
4.080,246,248
4.190,243,249
4.320,235,247
4.430,226,246
4.550,220,246
4.680,216,245
4.800,209,245
4.910,201,244
5.020,196,245
5.130,199,245
5.250,200,246
5.370,200,245
5.490,199,245
5.610,199,245
5.730,202,246
5.840,203,246
5.950,204,246
6.080,204,245
6.200,200,246
6.320,192,247
6.420,185,249
6.540,181,250
6.650,181,250
6.760,178,251
6.880,175,250
6.990,175,249
7.110,176,249
7.230,175,250
7.340,172,251
7.450,171,252
7.570,170,252
7.690,170,251
7.810,170,251
7.940,168,251
8.050,167,252
8.180,166,252
8.300,167,251
8.410,168,251
8.520,169,251
8.640,169,252
8.760,169,251
8.880,170,250
9.000,169,250
9.110,166,250
9.220,163,251
9.340,161,250
9.460,161,249
9.580,161,248
9.700,160,248
9.810,157,248
9.930,159,249
10.060,156,249
10.170,153,249
10.290,153,250
10.410,153,250
10.530,152,249
10.750,152,250
10.870,152,250
10.980,152,252
11.090,152,251
11.210,153,252
11.340,151,250
11.440,151,250
11.560,153,251
11.670,151,250
11.800,150,249
11.910,150,250
12.040,153,251
12.150,155,252
12.260,156,253
12.380,157,252
12.500,157,249
12.620,160,247
12.740,161,246
12.850,161,246
12.960,158,247
13.090,158,247
13.210,158,247
13.320,158,247
13.440,159,247
13.550,159,246
13.660,159,246
13.780,159,247
13.900,159,248
14.010,159,247
14.130,159,247
14.250,159,248
14.370,159,247
14.480,159,247
14.590,158,247
14.710,157,248
14.820,158,248
14.940,157,248
15.050,158,247
15.160,158,247
15.280,157,248
15.390,155,248
15.510,154,248
15.620,155,248
15.750,156,249
15.870,158,250
15.990,159,250
16.100,158,250
16.220,158,250
16.340,158,250
16.450,159,250
16.570,160,250
16.680,161,251
16.790,161,251
16.910,162,251
17.030,162,251
17.140,161,251
17.250,161,251
17.370,162,251
17.480,162,251
17.600,163,251
17.710,163,252
17.830,164,252
17.950,164,252
18.070,164,251
18.190,162,250
18.310,164,250
18.420,168,251
18.540,169,252
18.660,168,251
18.770,169,251
18.890,174,251
19.000,179,252
19.130,186,251
19.250,193,251
19.370,202,250
19.490,208,250
19.610,210,251
19.720,214,250
19.850,217,249
19.960,217,248
20.070,218,248
20.190,218,248
20.310,221,248
20.420,227,247
20.530,233,248
20.650,239,248
20.760,243,248
20.880,244,248
20.990,245,248
21.110,244,248
21.230,243,248
21.350,244,249
21.470,246,249
21.600,247,249
21.720,246,249
21.840,246,249
21.960,245,249
22.080,246,249
22.200,245,248
22.320,247,248
22.430,253,249
22.550,256,250
22.670,259,250
22.780,262,250
22.900,264,250
23.010,264,251
23.130,265,252
23.240,269,252
23.360,269,252
23.480,271,252
23.590,271,253
23.700,273,253
23.820,272,253
23.930,271,252
24.040,271,252
24.160,271,252
24.280,272,252
24.390,272,252
24.510,273,253
24.630,272,253
24.740,272,253
24.850,270,252
24.970,269,251
25.080,273,251
25.200,277,251
25.310,282,250
25.430,288,250
25.550,292,250
25.660,299,250
25.770,306,252
25.880,320,253
26.000,330,254
26.120,337,253
26.230,346,253
26.340,350,250
26.470,357,250
26.580,360,249
26.700,362,250
26.810,365,249
26.920,371,248
27.040,378,248
27.160,384,248
27.280,390,248
27.400,393,249
27.520,396,250
27.630,395,251
27.750,396,251
27.860,396,250
27.980,396,249
28.100,397,249
28.220,394,251
28.340,392,251
28.460,390,248
28.580,387,246
28.690,383,245
28.810,379,246
28.920,377,246
29.030,374,247
29.140,374,249
29.260,376,250
29.380,375,248
29.490,376,246
29.600,377,246
29.730,375,247
29.830,375,247
29.940,377,246
30.060,375,246
30.170,376,247
30.290,378,250
30.400,379,249
30.510,380,249
30.630,383,249
30.750,385,249
30.880,387,249
30.990,390,249
31.120,390,248
31.230,391,247
31.340,391,247
31.450,388,249
31.570,387,248
31.690,389,248
31.810,391,248
31.930,397,251
32.040,402,252
32.160,411,253
32.270,415,254
32.400,419,254
32.520,421,254
32.630,422,253
32.750,427,254
32.860,427,255
32.980,426,254
33.110,427,253
33.220,427,253
33.330,427,253
33.450,428,252
33.560,427,252
33.670,428,252
33.780,429,251
33.900,428,252
34.010,425,252
34.120,427,250
34.230,427,252
34.350,431,253
34.470,428,253
34.590,425,248
