Time,Centre position X,Centre position Y,In Brazo Abierto,In Brazo Cerrado,In centro+
0.000,,,1,0,0
0.220,286,287,1,0,0
0.340,285,298,1,0,0
0.470,283,305,0,0,0
0.580,283,307,0,0,1
0.700,283,308,0,0,1
0.870,283,308,0,0,1
1.040,284,310,0,0,1
1.160,285,312,0,0,1
1.280,285,310,0,0,1
1.400,285,308,0,0,1
1.520,288,310,0,0,1
1.640,291,310,0,0,1
1.750,292,310,0,0,1
1.870,292,312,0,0,1
1.980,292,312,0,0,1
2.100,292,311,0,0,1
2.220,291,309,0,0,1
2.340,300,310,0,0,0
2.450,309,310,0,1,0
2.570,323,309,0,1,0
2.690,338,309,0,1,0
2.800,358,308,0,1,0
2.910,371,309,0,1,0
3.030,387,310,0,1,0
3.140,401,309,0,1,0
3.260,413,309,0,1,0
3.370,418,308,0,1,0
3.500,422,308,0,1,0
3.610,421,308,0,1,0
3.730,424,309,0,1,0
3.850,425,308,0,1,0
3.970,426,309,0,1,0
4.080,427,310,0,1,0
4.190,426,310,0,1,0
4.310,427,311,0,1,0
4.420,429,312,0,1,0
4.530,428,311,0,1,0
4.640,428,311,0,1,0
4.760,430,310,0,1,0
4.910,429,310,0,1,0
5.030,429,310,0,1,0
5.150,428,310,0,1,0
5.260,428,310,0,1,0
5.380,428,310,0,1,0
5.500,427,309,0,1,0
5.620,427,310,0,1,0
5.730,427,312,0,1,0
5.850,426,313,0,1,0
5.960,426,313,0,1,0
6.090,426,313,0,1,0
6.210,426,312,0,1,0
6.340,426,312,0,1,0
6.460,426,312,0,1,0
6.580,427,312,0,1,0
6.700,427,312,0,1,0
6.820,427,312,0,1,0
6.940,427,311,0,1,0
7.060,427,311,0,1,0
7.170,428,313,0,1,0
7.280,430,312,0,1,0
7.400,431,312,0,1,0
7.520,432,312,0,1,0
7.640,434,314,0,1,0
7.750,433,314,0,1,0
7.870,430,314,0,1,0
7.990,430,314,0,1,0
8.100,431,312,0,1,0
8.210,431,311,0,1,0
8.320,431,311,0,1,0
8.450,432,311,0,1,0
8.560,431,310,0,1,0
8.820,427,313,0,1,0
8.930,430,313,0,1,0
9.040,430,311,0,1,0
9.160,426,311,0,1,0
9.270,417,308,0,1,0
9.390,414,308,0,1,0
9.520,412,308,0,1,0
9.630,413,309,0,1,0
9.740,411,308,0,1,0
9.860,412,308,0,1,0
9.970,416,309,0,1,0
10.090,415,309,0,1,0
10.210,409,308,0,1,0
10.320,400,308,0,1,0
10.430,387,309,0,1,0
10.550,379,310,0,1,0
10.670,362,310,0,1,0
10.780,352,310,0,1,0
10.890,343,310,0,1,0
11.010,332,309,0,1,0
11.120,332,310,0,1,0
11.240,328,309,0,1,0
11.350,328,309,0,1,0
11.450,328,309,0,1,0
11.570,328,308,0,1,0
11.680,326,308,0,1,0
11.800,323,308,0,1,0
11.910,323,308,0,1,0
12.030,322,308,0,1,0
12.140,319,307,0,1,0
12.260,317,307,0,1,0
12.380,319,307,0,1,0
12.490,319,307,0,1,0
12.600,316,307,0,1,0
12.710,317,307,0,1,0
12.830,316,307,0,1,0
12.950,314,306,0,1,0
13.080,314,306,0,1,0
13.190,317,307,0,1,0
13.310,318,308,0,1,0
13.420,317,308,0,1,0
13.530,314,307,0,1,0
13.650,314,307,0,1,0
13.770,313,306,0,1,0
13.880,313,306,0,1,0
13.980,313,306,0,1,0
14.090,315,307,0,1,0
14.210,318,309,0,1,0
14.340,324,310,0,1,0
14.450,325,310,0,1,0
14.570,326,311,0,1,0
14.690,329,313,0,1,0
14.800,333,312,0,1,0
14.910,337,312,0,1,0
15.030,339,312,0,1,0
15.150,338,312,0,1,0
15.260,346,310,0,1,0
15.380,361,308,0,1,0
15.490,387,308,0,1,0
15.600,406,308,0,1,0
15.720,420,308,0,1,0
15.840,426,308,0,1,0
15.960,429,308,0,1,0
16.070,429,311,0,1,0
16.190,429,311,0,1,0
16.310,428,311,0,1,0
16.420,429,311,0,1,0
16.530,429,312,0,1,0
16.650,430,313,0,1,0
16.770,430,313,0,1,0
16.890,429,311,0,1,0
17.010,426,311,0,1,0
17.130,424,311,0,1,0
17.250,417,310,0,1,0
17.370,405,312,0,1,0
17.490,391,313,0,1,0
17.610,380,312,0,1,0
17.720,372,313,0,1,0
17.830,362,312,0,1,0
17.950,356,315,0,1,0
18.070,350,315,0,1,0
18.190,348,314,0,1,0
18.300,347,314,0,1,0
18.420,348,313,0,1,0
18.530,346,314,0,1,0
18.660,340,313,0,1,0
18.770,333,311,0,1,0
18.890,327,311,0,1,0
19.000,326,310,0,1,0
19.120,325,309,0,1,0
19.220,324,309,0,1,0
19.340,323,309,0,1,0
19.470,321,310,0,1,0
19.590,317,311,0,1,0
19.710,316,312,0,1,0
19.820,316,313,0,1,0
19.940,315,313,0,1,0
20.050,314,313,0,1,0
20.180,312,315,0,1,0
20.290,312,314,0,1,0
20.410,315,313,0,1,0
20.530,316,311,0,1,0
20.640,314,310,0,1,0
20.760,310,309,0,1,0
20.880,306,309,0,1,0
21.000,308,309,0,1,0
21.110,308,308,0,1,0
21.230,303,306,0,0,0
21.350,303,305,0,0,0
21.460,304,306,0,0,0
21.580,306,306,0,0,0
21.690,307,307,0,1,0
21.810,306,307,0,1,0
21.920,306,307,0,1,0
22.040,306,307,0,1,0
22.150,305,307,0,1,0
22.280,306,307,0,1,0
22.390,306,307,0,1,0
22.500,308,307,0,1,0
22.620,308,308,0,1,0
22.730,307,308,0,1,0
22.860,307,308,0,1,0
22.970,307,308,0,1,0
23.090,307,308,0,1,0
23.190,307,308,0,1,0
23.310,307,308,0,1,0
23.420,307,308,0,1,0
23.540,308,308,0,1,0
23.660,312,310,0,1,0
23.770,315,311,0,1,0
23.890,314,311,0,1,0
24.000,314,311,0,1,0
24.110,314,310,0,1,0
24.230,313,310,0,1,0
24.340,314,310,0,1,0
24.460,315,312,0,1,0
24.570,316,312,0,1,0
24.690,319,313,0,1,0
24.800,322,313,0,1,0
24.910,325,312,0,1,0
25.030,326,312,0,1,0
25.140,330,311,0,1,0
25.260,341,309,0,1,0
25.380,363,308,0,1,0
25.500,386,308,0,1,0
25.620,402,307,0,1,0
25.730,417,307,0,1,0
25.850,428,308,0,1,0
25.970,431,309,0,1,0
26.090,432,311,0,1,0
