Time,Centre position X,Centre position Y,In Brazo Abierto,In Brazo Cerrado,In centro+
0.000,,,0,0,0
0.250,288,301,0,0,0
0.370,291,302,0,0,0
0.480,293,305,0,0,0
0.600,291,304,0,0,0
0.710,290,306,0,0,1
0.830,289,308,0,0,1
0.940,289,310,0,0,1
1.060,287,311,0,0,1
1.170,287,311,0,0,1
1.290,288,310,0,0,1
1.400,289,309,0,0,1
1.520,291,310,0,0,1
1.630,292,309,0,0,1
1.750,294,309,0,0,1
1.860,302,310,0,0,0
1.980,311,311,0,1,0
2.110,329,311,0,1,0
2.230,347,312,0,1,0
2.340,361,312,0,1,0
2.450,375,312,0,1,0
2.560,392,311,0,1,0
2.690,406,311,0,1,0
2.790,415,312,0,1,0
2.910,424,311,0,1,0
3.030,425,312,0,1,0
3.150,424,313,0,1,0
3.260,425,312,0,1,0
3.380,426,311,0,1,0
3.500,425,313,0,1,0
3.610,425,313,0,1,0
3.730,425,313,0,1,0
3.840,424,313,0,1,0
3.960,425,313,0,1,0
4.080,426,313,0,1,0
4.190,426,312,0,1,0
4.310,427,312,0,1,0
4.430,428,311,0,1,0
4.540,427,312,0,1,0
4.660,427,311,0,1,0
4.780,428,311,0,1,0
4.890,428,312,0,1,0
5.000,426,314,0,1,0
5.130,421,310,0,1,0
5.250,418,308,0,1,0
5.370,406,307,0,1,0
5.490,389,306,0,1,0
5.620,377,308,0,1,0
5.740,363,308,0,1,0
5.850,346,310,0,1,0
5.970,337,310,0,1,0
6.080,327,309,0,1,0
6.210,321,307,0,1,0
6.330,319,308,0,1,0
6.450,319,308,0,1,0
6.560,319,308,0,1,0
6.670,317,308,0,1,0
6.790,317,308,0,1,0
6.900,316,308,0,1,0
7.020,315,308,0,1,0
7.140,313,308,0,1,0
7.260,311,309,0,1,0
7.370,309,309,0,1,0
7.490,309,310,0,1,0
7.610,309,310,0,1,0
7.720,308,310,0,1,0
7.840,308,311,0,1,0
7.960,309,311,0,1,0
8.080,309,308,0,1,0
8.190,306,307,0,1,0
8.310,306,307,0,1,0
8.430,307,307,0,1,0
8.530,307,307,0,1,0
8.650,307,306,0,1,0
8.770,307,306,0,1,0
8.890,307,306,0,1,0
9.010,308,307,0,1,0
9.120,307,306,0,1,0
9.240,306,306,0,1,0
9.360,299,306,0,0,0
9.470,296,305,0,0,0
9.590,292,305,0,0,0
9.710,290,305,0,0,0
9.820,291,306,0,0,0
9.940,293,306,0,0,0
10.070,292,307,0,0,1
10.180,291,308,0,0,1
10.290,291,309,0,0,1
10.400,292,309,0,0,1
10.520,293,310,0,0,1
10.630,291,311,0,0,1
10.740,294,311,0,0,1
10.870,293,311,0,0,1
10.980,293,310,0,0,1
11.100,288,308,0,0,1
11.210,285,307,0,0,1
11.340,283,306,0,0,1
11.450,280,306,0,0,1
