Time,Centre position X,Centre position Y
0.000,,
0.220,283,259
0.320,283,258
0.430,284,257
0.550,286,258
0.670,287,260
0.780,289,260
0.900,289,260
1.020,289,260
1.140,289,260
1.250,290,260
1.360,290,260
1.480,290,260
1.590,290,260
1.710,289,260
1.820,289,260
1.930,289,259
2.040,289,260
2.150,289,260
2.270,290,263
2.380,290,265
2.510,291,266
2.630,290,266
2.740,290,265
2.860,286,261
2.970,284,258
3.090,284,257
3.200,287,255
3.310,294,252
3.430,300,251
3.540,313,250
3.660,324,249
3.780,338,248
3.890,348,248
4.010,354,249
4.120,358,248
4.240,354,249
4.350,349,249
4.480,350,249
4.600,352,250
4.720,354,250
4.830,357,249
4.940,359,249
5.050,359,249
5.170,357,252
5.290,351,251
5.400,346,249
5.520,336,246
5.640,320,246
5.750,312,245
5.870,303,245
5.990,302,245
6.090,299,244
6.220,295,244
6.340,292,244
6.460,292,243
6.570,291,242
6.690,291,243
6.810,290,239
6.930,288,236
7.050,288,235
7.170,287,234
7.280,287,233
7.390,287,233
7.510,287,233
7.630,287,233
7.750,287,233
7.860,287,233
7.990,287,233
8.110,286,233
8.230,285,233
8.340,285,234
8.470,285,234
8.580,286,233
8.690,287,233
8.800,288,233
8.920,291,234
9.030,292,236
9.140,292,234
9.260,291,231
9.380,289,226
9.490,289,224
9.600,288,224
9.730,289,224
9.840,289,223
9.960,291,221
10.080,292,222
10.200,292,223
10.320,292,221
10.440,292,221
10.560,292,222
10.680,292,223
10.790,292,224
10.900,292,226
11.020,292,226
11.130,292,226
11.250,292,226
11.370,292,227
11.490,293,227
11.620,293,227
11.730,293,227
11.850,292,227
11.960,291,228
12.070,290,229
12.180,289,227
12.300,288,224
12.420,287,222
12.530,286,220
12.650,286,220
12.760,286,220
12.870,286,221
12.990,287,223
13.100,288,226
13.200,289,228
13.320,289,229
13.440,290,232
13.550,290,234
13.670,288,236
13.780,285,241
13.900,284,247
14.020,285,250
14.140,286,256
14.260,286,259
14.380,285,263
14.500,286,264
14.610,286,265
14.720,286,264
14.830,287,259
14.940,285,252
15.050,284,248
15.160,286,246
15.280,288,246
15.400,289,246
15.520,290,245
15.640,290,244
15.750,290,244
15.870,290,243
15.990,290,243
16.110,291,243
16.230,291,243
16.350,291,242
16.460,291,243
16.590,290,245
16.710,290,244
16.820,290,243
16.930,290,240
17.050,290,235
17.160,290,234
17.280,290,235
17.390,290,235
17.510,290,235
17.620,290,236
17.740,291,235
17.850,292,236
17.970,293,235
18.090,292,235
18.210,293,235
18.320,293,235
18.440,293,234
18.550,293,234
18.660,292,234
18.780,292,235
18.890,292,235
19.010,292,235
19.120,292,235
19.240,292,235
19.360,292,235
19.480,292,235
19.600,291,236
19.710,292,235
19.840,291,235
19.960,292,235
20.070,291,235
20.180,291,232
20.290,290,227
20.410,289,221
20.530,289,217
20.650,288,209
20.760,287,202
20.880,286,194
20.990,286,189
21.110,286,186
21.220,285,185
21.340,285,181
21.460,284,179
21.570,283,178
21.690,282,177
21.800,283,177
21.900,284,178
22.010,284,180
22.130,285,182
22.240,285,183
22.350,285,184
22.460,285,186
22.580,286,185
22.700,285,186
22.820,286,186
22.950,286,186
23.060,286,186
23.190,289,187
23.300,290,189
23.410,291,193
23.530,289,204
23.650,288,214
23.770,288,227
23.890,288,237
24.000,288,246
24.120,287,246
24.230,288,243
24.350,289,242
24.470,292,244
24.580,296,247
24.700,302,248
24.810,306,249
24.920,307,249
25.030,307,248
25.150,305,248
25.260,301,247
25.380,301,247
25.500,299,248
25.620,298,248
25.730,297,248
25.850,296,249
25.960,295,251
26.080,296,252
26.200,295,250
26.310,295,250
26.430,294,253
26.540,291,254
26.660,290,257
26.780,289,257
26.890,289,258
27.010,287,258
27.130,287,259
27.240,286,259
27.360,286,259
27.470,285,260
27.580,286,260
27.700,285,260
27.820,285,260
27.930,285,260
28.050,285,260
28.170,285,259
28.280,285,260
28.390,286,259
28.510,286,259
28.630,286,261
28.740,286,261
28.860,286,260
28.970,289,258
29.090,292,255
29.210,292,255
29.330,292,255
29.450,293,254
29.570,295,255
29.680,295,256
29.800,295,256
29.920,295,256
30.030,295,257
30.160,295,256
30.270,295,256
30.390,296,256
30.510,296,255
30.620,295,254
30.740,296,250
30.860,294,250
30.970,292,249
31.100,288,249
31.210,282,250
31.320,275,251
31.440,267,251
31.560,266,251
31.670,259,252
31.790,252,252
31.910,244,255
32.030,234,257
32.150,227,257
32.270,222,257
32.380,212,254
32.490,203,248
32.610,196,247
32.720,190,246
32.840,183,247
32.950,182,248
33.070,182,248
33.180,181,249
33.300,181,248
33.410,182,248
33.530,185,247
33.640,185,247
33.750,187,247
33.880,184,248
34.000,184,247
34.110,184,248
34.220,186,249
34.330,184,251
34.460,185,252
34.570,185,251
34.700,185,252
34.810,184,252
34.930,184,252
35.050,183,252
35.160,185,252
35.270,189,251
35.390,194,248
35.510,202,247
35.630,209,247
35.750,239,254
35.870,251,252
35.990,262,251
36.100,268,250
36.220,271,250
36.340,272,250
36.450,273,251
36.570,275,252
36.680,279,255
36.790,279,254
36.910,279,254
37.030,279,254
37.140,277,255
37.240,279,258
37.350,281,262
37.460,283,263
37.570,283,263
37.690,283,263
37.800,283,263
37.910,283,263
38.020,283,263
38.130,283,263
38.250,283,262
38.370,281,263
38.490,281,265
38.610,280,265
38.730,280,265
38.840,280,265
38.950,280,264
39.070,280,264
39.180,280,263
39.300,280,262
39.420,281,262
39.530,281,262
39.650,283,263
39.760,287,265
39.880,287,267
40.000,289,267
40.110,289,268
40.220,289,267
40.340,289,267
40.450,289,268
40.570,289,268
40.690,289,268
40.800,289,268
40.910,289,268
41.030,290,269
41.160,290,268
41.280,289,268
41.390,289,268
41.500,288,267
41.610,288,266
41.730,285,265
41.850,284,265
41.960,284,264
42.070,285,262
42.190,286,258
42.310,287,253
42.420,287,249
42.540,288,245
42.650,288,243
42.760,288,239
42.880,288,239
42.990,288,239
43.100,288,238
43.210,289,237
43.330,289,235
43.450,289,234
43.570,289,234
43.690,289,235
43.800,289,235
43.920,290,234
44.040,291,232
44.160,291,231
44.280,291,231
44.400,291,231
44.520,291,231
44.640,291,231
44.750,290,232
44.880,291,230
44.990,291,229
45.100,290,229
45.220,290,229
45.330,290,229
45.450,290,229
45.560,290,229
45.690,290,229
45.810,290,229
45.930,290,231
46.050,289,232
46.180,287,231
46.300,286,229
46.410,286,229
46.540,285,230
46.650,285,230
46.770,284,231
46.880,284,231
46.990,284,231
47.100,284,232
47.220,284,232
47.330,286,234
47.440,287,236
47.560,288,236
47.680,289,236
47.800,290,235
47.910,290,233
48.020,290,233
48.140,290,234
48.250,290,233
48.370,290,232
48.480,291,231
48.600,291,232
48.720,292,231
48.830,292,231
48.940,292,231
49.060,292,231
49.170,292,232
49.290,291,233
49.400,290,236
49.520,290,237
49.640,289,238
49.760,290,238
49.880,290,239
50.000,289,240
50.110,289,242
50.240,285,244
50.350,283,245
50.470,275,246
50.590,273,248
50.700,274,247
50.820,275,248
50.930,275,248
51.050,277,250
51.180,278,251
51.300,278,253
51.420,278,254
51.540,278,254
51.660,278,251
