Time,Centre position X,Centre position Y,In Brazo abierto,In brazo cerrado,In centro+
0.000,,,0,0,0
0.190,332,235,0,0,0
0.300,332,238,0,0,0
0.410,332,241,0,0,0
0.520,334,250,0,0,1
0.640,336,254,0,0,1
0.750,337,259,0,0,1
0.860,337,262,0,0,0
0.980,338,265,0,0,0
1.090,338,265,0,0,0
1.210,338,264,0,0,0
1.320,338,264,0,0,0
1.440,337,263,0,0,0
1.560,337,263,0,0,0
1.680,337,263,0,0,0
1.790,337,262,0,0,0
1.900,337,261,0,0,0
2.020,337,264,0,0,0
2.140,337,268,0,0,0
2.250,337,278,1,0,0
2.370,336,286,1,0,0
2.480,336,293,1,0,0
2.600,335,302,1,0,0
2.720,335,312,1,0,0
2.840,334,321,1,0,0
2.960,333,330,1,0,0
3.070,333,335,1,0,0
3.180,333,339,1,0,0
3.300,334,345,1,0,0
3.410,335,356,1,0,0
3.530,336,361,1,0,0
3.650,337,365,1,0,0
3.770,337,372,1,0,0
3.880,337,376,1,0,0
4.000,338,376,1,0,0
4.120,338,376,1,0,0
4.230,338,376,1,0,0
4.340,338,376,1,0,0
4.460,338,376,1,0,0
4.570,338,376,1,0,0
4.690,338,378,1,0,0
4.810,338,379,1,0,0
4.930,338,378,1,0,0
5.040,337,377,1,0,0
5.150,336,376,1,0,0
5.270,334,377,1,0,0
5.380,331,382,1,0,0
5.500,330,383,1,0,0
5.610,331,384,1,0,0
5.730,333,383,1,0,0
5.840,335,380,1,0,0
5.960,334,379,1,0,0
6.090,334,375,1,0,0
6.200,333,370,1,0,0
6.320,331,363,1,0,0
6.440,332,354,1,0,0
6.560,331,339,1,0,0
6.670,331,329,1,0,0
6.790,332,313,1,0,0
6.910,333,301,1,0,0
7.040,334,284,1,0,0
7.150,334,269,1,0,0
7.280,334,259,0,0,0
7.400,333,246,0,0,1
7.520,332,236,0,0,0
7.640,331,234,0,0,0
7.760,331,230,1,0,0
7.870,331,226,1,0,0
7.980,331,218,1,0,0
8.100,332,211,1,0,0
8.210,333,205,1,0,0
8.330,332,208,1,0,0
8.450,331,211,1,0,0
8.570,330,212,1,0,0
8.680,330,213,1,0,0
8.790,329,214,1,0,0
8.920,329,214,1,0,0
9.040,329,215,1,0,0
9.160,330,215,1,0,0
9.270,330,216,1,0,0
9.390,332,216,1,0,0
9.500,332,216,1,0,0
9.630,334,216,1,0,0
9.750,335,213,1,0,0
9.870,337,206,1,0,0
9.990,337,200,1,0,0
10.110,337,196,1,0,0
10.220,338,186,1,0,0
10.340,339,175,1,0,0
10.460,339,165,1,0,0
10.570,339,157,1,0,0
10.690,339,145,1,0,0
10.810,339,133,1,0,0
10.920,339,126,1,0,0
11.040,339,117,1,0,0
11.150,338,106,1,0,0
11.260,338,103,1,0,0
11.380,338,102,1,0,0
11.490,338,101,1,0,0
11.620,337,102,1,0,0
11.740,337,103,1,0,0
11.870,336,103,1,0,0
11.980,335,101,1,0,0
12.090,334,100,1,0,0
12.210,334,100,1,0,0
12.320,333,101,1,0,0
12.440,333,101,1,0,0
12.560,333,101,1,0,0
12.680,336,105,1,0,0
12.800,337,105,1,0,0
12.910,337,104,1,0,0
13.020,337,102,1,0,0
13.140,337,103,1,0,0
13.250,337,102,1,0,0
13.360,337,102,1,0,0
13.470,337,102,1,0,0
13.580,336,103,1,0,0
13.700,336,104,1,0,0
13.810,335,105,1,0,0
13.920,335,105,1,0,0
14.030,335,105,1,0,0
14.150,335,104,1,0,0
14.270,336,104,1,0,0
14.380,336,104,1,0,0
14.500,336,104,1,0,0
14.620,335,105,1,0,0
14.750,333,106,1,0,0
14.860,333,105,1,0,0
14.980,333,105,1,0,0
15.100,335,108,1,0,0
15.220,336,115,1,0,0
15.330,337,124,1,0,0
15.460,338,142,1,0,0
15.570,337,159,1,0,0
15.690,337,175,1,0,0
15.800,337,190,1,0,0
15.930,336,210,1,0,0
16.040,335,227,1,0,0
16.160,336,240,0,0,0
16.270,336,248,0,0,1
16.390,338,255,0,0,1
16.510,338,258,0,0,0
16.630,338,262,0,0,0
16.740,338,262,0,0,0
16.840,338,262,0,0,0
16.970,338,262,0,0,0
17.080,338,259,0,0,0
17.200,336,259,0,0,0
17.310,334,262,0,0,0
17.420,333,263,0,0,0
17.540,333,263,0,0,0
17.650,335,262,0,0,0
17.770,334,260,0,0,0
17.880,334,260,0,0,0
17.990,333,260,0,0,0
18.110,334,260,0,0,0
18.230,334,260,0,0,0
18.340,336,258,0,0,1
18.460,335,257,0,0,1
18.570,335,256,0,0,1
18.680,332,254,0,0,1
18.810,322,251,0,0,1
18.920,315,250,0,0,0
19.030,307,246,0,1,0
19.150,299,245,0,1,0
19.260,292,243,0,1,0
19.390,279,242,0,1,0
19.500,273,241,0,1,0
19.610,258,242,0,1,0
19.730,251,244,0,1,0
19.840,245,245,0,1,0
19.950,237,245,0,1,0
20.080,227,246,0,1,0
20.190,220,246,0,1,0
20.320,214,247,0,1,0
20.440,214,248,0,1,0
20.560,211,248,0,1,0
20.670,211,249,0,1,0
20.800,214,246,0,1,0
20.910,213,245,0,1,0
21.020,212,245,0,1,0
21.150,210,246,0,1,0
21.270,209,246,0,1,0
21.380,209,246,0,1,0
21.500,208,246,0,1,0
21.610,209,246,0,1,0
21.730,209,246,0,1,0
21.850,209,247,0,1,0
21.960,210,247,0,1,0
22.070,213,246,0,1,0
22.180,222,243,0,1,0
22.290,223,243,0,1,0
22.400,227,243,0,1,0
22.520,243,244,0,1,0
22.640,252,247,0,1,0
22.760,262,248,0,1,0
22.870,277,251,0,1,0
22.990,283,251,0,1,0
23.110,285,251,0,1,0
23.220,286,250,0,1,0
23.340,287,249,0,1,0
23.470,289,249,0,1,0
23.570,302,249,0,1,0
23.690,309,248,0,1,0
23.800,312,248,0,1,0
23.920,317,248,0,0,0
24.040,320,247,0,0,0
24.160,321,247,0,0,0
24.280,321,247,0,0,0
24.400,323,246,0,0,1
24.510,328,244,0,0,1
24.630,330,244,0,0,1
24.750,330,243,0,0,1
24.870,330,242,0,0,1
24.980,330,241,0,0,1
25.100,330,240,0,0,1
25.230,329,240,0,0,1
25.350,328,241,0,0,1
25.460,327,243,0,0,1
25.570,331,243,0,0,1
25.680,337,242,0,0,0
25.800,342,242,0,0,0
25.910,347,242,0,0,0
26.020,358,243,0,1,0
26.140,366,245,0,1,0
26.250,376,246,0,1,0
26.360,381,247,0,1,0
26.480,390,247,0,1,0
26.600,399,248,0,1,0
26.730,412,249,0,1,0
26.850,426,251,0,1,0
26.960,435,250,0,1,0
27.080,445,252,0,1,0
27.200,455,252,0,1,0
27.320,464,254,0,1,0
27.440,465,254,0,1,0
27.560,465,254,0,1,0
27.680,465,253,0,1,0
27.800,465,252,0,1,0
27.920,469,250,0,1,0
28.030,470,249,0,1,0
28.160,471,248,0,1,0
28.270,472,248,0,1,0
28.380,473,248,0,1,0
28.510,473,248,0,1,0
28.620,473,248,0,1,0
28.740,473,249,0,1,0
28.860,474,250,0,1,0
28.980,472,251,0,1,0
29.100,471,250,0,1,0
29.220,473,250,0,1,0
29.330,475,249,0,1,0
29.460,475,248,0,1,0
29.580,472,244,0,1,0
29.690,467,243,0,1,0
29.800,458,244,0,1,0
29.910,455,244,0,1,0
30.030,452,244,0,1,0
30.160,442,245,0,1,0
30.260,431,246,0,1,0
30.380,417,247,0,1,0
30.490,406,246,0,1,0
30.610,390,246,0,1,0
30.730,374,245,0,1,0
30.840,362,244,0,1,0
30.950,359,244,0,1,0
31.070,356,245,0,1,0
31.180,357,246,0,1,0
31.290,355,247,0,1,0
31.410,354,248,0,1,0
31.520,354,248,0,1,0
31.640,353,249,0,1,0
31.750,352,249,0,1,0
31.860,353,249,0,1,0
31.980,355,247,0,1,0
32.100,357,246,0,1,0
32.210,358,246,0,1,0
32.330,357,247,0,1,0
32.440,355,247,0,1,0
32.560,355,248,0,1,0
32.680,354,248,0,1,0
32.790,353,250,0,1,0
32.900,351,251,0,1,0
33.020,351,251,0,1,0
33.140,351,251,0,1,0
33.260,354,249,0,1,0
33.370,351,248,0,1,0
33.490,351,249,0,1,0
33.610,351,249,0,1,0
33.720,351,249,0,1,0
33.840,352,247,0,1,0
33.960,347,245,0,1,0
