Time,Centre position X,Centre position Y
0.000,,
0.200,281,241
0.320,286,239
0.440,288,237
0.550,289,237
0.660,289,237
0.780,289,237
0.910,289,236
1.020,289,237
1.140,289,237
1.250,289,237
1.370,289,237
1.480,288,236
1.600,288,237
1.720,288,240
1.840,289,243
1.970,292,246
2.080,292,246
2.200,295,248
2.310,298,249
2.430,299,249
2.550,298,248
2.670,298,248
2.790,297,248
2.910,297,248
3.030,297,248
3.150,297,248
3.250,297,247
3.360,296,247
3.480,300,247
3.600,305,248
3.720,312,248
3.830,320,247
3.950,329,247
4.070,337,247
4.180,350,247
4.290,360,247
4.410,371,247
4.530,371,247
4.640,383,247
4.750,394,248
4.870,403,248
4.980,408,247
5.100,404,247
5.220,400,249
5.330,397,250
5.450,395,250
5.570,392,247
5.690,385,246
5.810,373,245
5.930,373,245
6.050,362,246
6.170,354,249
6.280,346,252
6.390,339,255
6.510,331,256
6.630,328,256
6.750,325,256
6.860,322,256
6.980,321,255
7.080,322,255
7.200,321,255
7.310,320,255
7.430,321,255
7.540,320,256
7.650,320,256
7.770,320,255
7.880,320,256
7.990,319,256
8.110,319,256
8.220,319,256
8.330,317,256
8.450,316,256
8.570,314,256
8.680,311,256
8.790,310,256
8.910,311,256
9.030,312,254
9.140,309,252
9.260,309,252
9.380,307,252
9.500,305,251
9.610,305,251
9.730,306,251
9.840,308,252
9.950,309,250
10.070,308,249
10.190,307,248
10.310,305,247
10.420,304,247
10.540,304,247
10.660,305,247
10.770,307,250
10.890,308,250
11.010,309,251
11.120,310,251
11.230,310,251
11.350,309,251
11.460,306,251
11.580,304,250
11.700,304,250
11.820,303,250
11.940,304,250
12.060,305,253
12.170,303,254
12.280,301,255
12.390,300,257
12.500,300,257
12.620,301,258
12.740,301,258
12.850,301,258
12.970,301,259
13.080,300,259
13.200,301,259
13.310,304,257
13.420,302,254
13.540,298,253
13.660,290,252
13.780,277,252
13.900,252,251
14.030,237,250
14.140,221,251
14.260,221,251
14.360,204,252
14.480,188,253
14.590,176,254
14.710,168,253
14.820,161,252
14.940,155,250
15.050,152,249
15.170,151,250
15.290,149,248
15.410,149,248
15.520,149,248
15.630,148,248
15.740,150,248
15.860,150,248
15.980,153,250
16.100,150,248
16.220,150,251
16.370,149,253
16.480,149,253
16.590,152,251
16.710,153,251
16.820,153,251
16.950,152,251
17.060,152,252
17.170,154,250
17.290,154,249
17.400,154,248
17.520,151,249
17.630,151,249
17.750,150,250
17.860,149,249
17.970,149,249
18.080,149,249
18.190,151,248
18.320,153,247
18.430,156,246
18.550,158,245
18.660,161,245
18.780,161,245
18.900,161,245
19.010,161,245
19.130,162,244
19.250,162,244
19.370,162,244
19.490,162,244
19.610,162,244
19.730,162,244
19.840,159,244
19.960,157,244
20.070,157,245
20.180,155,245
20.300,153,245
20.420,153,245
20.530,153,245
20.640,153,245
20.770,152,246
20.880,152,245
20.990,157,245
21.110,166,244
21.230,177,245
21.340,189,246
21.460,202,248
21.570,217,249
21.690,217,249
21.810,230,251
21.930,238,253
22.040,243,252
22.160,249,254
22.270,255,254
22.390,260,254
22.520,262,254
22.640,261,254
22.750,259,253
22.860,259,253
22.970,259,253
23.090,259,254
23.200,259,254
23.320,257,253
23.450,257,253
23.560,258,252
23.690,262,253
23.810,271,254
23.920,275,254
24.040,275,254
24.160,272,253
24.280,274,254
24.390,278,256
24.510,278,256
24.620,280,257
24.750,279,257
24.860,276,255
24.980,273,252
25.100,279,250
25.210,284,247
25.340,284,247
25.450,285,246
25.570,285,245
25.690,285,246
25.810,284,246
25.930,284,247
26.050,284,247
26.170,286,247
26.280,293,246
26.400,304,247
26.510,319,248
26.620,336,251
26.740,351,252
26.860,369,254
26.970,385,255
27.080,398,255
27.190,398,255
27.310,411,255
27.430,419,255
27.530,423,255
27.650,424,256
27.780,427,255
27.890,429,255
28.000,429,255
28.120,431,255
28.240,431,255
28.350,431,255
28.470,429,253
28.590,429,253
28.700,429,252
28.820,428,251
28.940,427,252
29.060,428,252
29.180,429,251
29.300,429,251
29.410,427,252
29.520,427,252
29.630,426,252
29.750,421,251
29.860,415,248
29.970,410,247
30.080,403,248
30.200,395,249
