Time,Centre position X,Centre position Y,In Brazo Abierto,In Brazo Cerrado,In centro+
0.000,,,1,0,0
0.230,284,258,1,0,0
0.360,285,256,1,0,0
0.470,284,255,1,0,0
0.590,284,255,1,0,0
0.700,285,254,1,0,0
0.810,285,253,1,0,0
0.920,286,253,1,0,0
1.040,286,253,1,0,0
1.160,287,251,1,0,0
1.280,287,249,1,0,0
1.400,288,247,1,0,0
1.510,288,247,1,0,0
1.630,288,247,1,0,0
1.740,287,247,1,0,0
1.850,288,247,1,0,0
1.970,288,246,1,0,0
2.080,288,245,1,0,0
2.190,288,243,1,0,0
2.300,288,241,1,0,0
2.420,288,240,1,0,0
2.540,290,240,1,0,0
2.660,292,238,1,0,0
2.780,294,239,1,0,0
2.900,295,240,1,0,0
3.010,295,239,1,0,0
3.130,294,239,1,0,0
3.250,294,240,1,0,0
3.370,293,241,1,0,0
3.490,293,244,1,0,0
3.610,292,246,1,0,0
3.730,290,247,1,0,0
3.840,290,247,1,0,0
3.950,290,248,1,0,0
4.070,289,250,1,0,0
4.180,289,250,1,0,0
4.290,288,250,1,0,0
4.400,288,251,1,0,0
4.520,288,251,1,0,0
4.640,288,251,1,0,0
4.760,288,251,1,0,0
4.880,288,251,1,0,0
4.990,288,251,1,0,0
5.110,289,251,1,0,0
5.220,290,250,1,0,0
5.340,291,250,1,0,0
5.450,290,253,1,0,0
5.570,290,255,1,0,0
5.690,290,259,1,0,0
5.810,291,264,1,0,0
5.930,292,268,1,0,0
6.040,292,269,1,0,0
6.150,292,269,1,0,0
6.270,292,268,1,0,0
6.390,292,268,1,0,0
6.510,292,268,1,0,0
6.630,292,268,1,0,0
6.750,292,269,1,0,0
6.860,293,271,1,0,0
6.980,293,273,1,0,0
7.090,293,276,1,0,0
7.200,292,280,1,0,0
7.330,292,286,1,0,0
7.440,290,290,1,0,0
7.550,287,296,1,0,0
7.680,286,299,1,0,0
7.790,284,300,0,0,0
7.910,282,302,0,0,0
8.020,282,303,0,0,0
8.150,283,306,0,0,0
8.270,283,308,0,0,1
8.380,283,308,0,0,1
8.510,284,307,0,0,1
8.610,284,307,0,0,1
8.730,285,309,0,0,1
8.850,288,313,0,0,1
8.960,289,317,0,0,1
9.080,289,317,0,0,1
9.200,290,316,0,0,1
9.320,290,316,0,0,1
9.450,290,316,0,0,1
9.550,291,316,0,0,1
9.660,290,315,0,0,1
9.790,289,312,0,0,1
9.910,287,312,0,0,1
10.020,286,310,0,0,1
10.130,285,311,0,0,1
10.250,280,311,0,0,1
10.370,273,312,0,0,0
10.510,259,312,0,1,0
10.630,249,309,0,1,0
10.730,245,311,0,1,0
10.850,232,310,0,1,0
10.960,222,311,0,1,0
11.070,210,311,0,1,0
11.190,196,311,0,1,0
11.300,186,310,0,1,0
11.420,176,310,0,1,0
11.540,172,310,0,1,0
11.650,173,311,0,1,0
11.760,173,310,0,1,0
11.870,174,310,0,1,0
12.000,175,310,0,1,0
12.120,175,310,0,1,0
12.230,174,309,0,1,0
12.350,174,309,0,1,0
12.480,175,310,0,1,0
12.590,173,310,0,1,0
12.720,168,310,0,1,0
12.840,166,309,0,1,0
12.950,163,310,0,1,0
13.080,162,312,0,1,0
13.190,159,311,0,1,0
13.310,157,311,0,1,0
13.430,156,311,0,1,0
13.540,154,310,0,1,0
13.650,156,311,0,1,0
13.780,158,311,0,1,0
13.930,158,313,0,1,0
14.050,163,310,0,1,0
14.170,169,308,0,1,0
14.280,174,308,0,1,0
14.390,178,308,0,1,0
14.500,190,309,0,1,0
14.620,206,311,0,1,0
14.740,218,312,0,1,0
14.860,226,312,0,1,0
14.980,227,312,0,1,0
15.090,227,311,0,1,0
15.210,225,311,0,1,0
15.320,225,312,0,1,0
15.460,225,312,0,1,0
15.570,225,311,0,1,0
15.690,230,311,0,1,0
15.810,248,311,0,1,0
15.930,258,311,0,1,0
16.040,262,309,0,1,0
16.160,264,310,0,1,0
16.270,263,310,0,1,0
16.380,263,311,0,1,0
16.500,264,311,0,1,0
16.620,265,311,0,1,0
16.740,266,311,0,1,0
16.860,266,311,0,1,0
16.980,266,311,0,1,0
17.090,265,311,0,1,0
17.200,266,311,0,1,0
17.320,265,311,0,1,0
17.420,265,311,0,1,0
17.550,264,311,0,1,0
17.660,263,309,0,1,0
17.770,265,308,0,1,0
17.890,268,307,0,1,0
18.000,268,307,0,1,0
18.120,268,307,0,1,0
18.240,268,307,0,1,0
18.350,268,307,0,1,0
18.460,269,306,0,1,0
18.570,269,307,0,1,0
18.690,270,307,0,1,0
18.820,272,306,0,0,0
18.940,274,305,0,0,0
19.050,274,305,0,0,0
19.160,274,305,0,0,0
19.280,274,304,0,0,0
19.390,274,304,0,0,0
19.510,271,306,0,0,0
19.630,269,307,0,0,0
19.740,267,308,0,1,0
19.860,268,309,0,1,0
19.970,268,308,0,1,0
20.090,268,309,0,1,0
20.220,267,310,0,1,0
20.340,267,310,0,1,0
20.460,267,310,0,1,0
20.580,268,310,0,1,0
20.690,268,309,0,1,0
20.810,272,307,0,0,0
20.930,272,307,0,0,0
21.060,272,307,0,0,0
21.170,272,307,0,0,0
21.290,272,308,0,0,0
21.400,273,309,0,0,0
21.520,279,311,0,0,0
21.640,282,311,0,0,1
21.760,282,311,0,0,1
21.870,279,310,0,0,1
21.980,280,312,0,0,1
22.110,281,314,0,0,1
22.230,282,314,0,0,1
22.350,281,313,0,0,1
22.450,281,314,0,0,1
22.570,279,316,0,0,1
22.690,278,315,0,0,1
22.800,278,315,0,0,1
22.930,278,316,0,0,1
23.040,277,315,0,0,1
23.160,278,315,0,0,1
23.280,278,315,0,0,1
23.390,278,315,0,0,1
23.510,277,315,0,0,1
23.620,277,315,0,0,1
23.740,277,314,0,0,1
23.860,275,312,0,0,1
23.990,276,311,0,0,1
24.090,280,310,0,0,1
24.210,282,309,0,0,1
24.320,289,310,0,0,1
24.430,294,310,0,0,1
24.550,299,308,0,0,0
24.670,307,309,0,1,0
24.790,318,309,0,1,0
24.910,333,310,0,1,0
25.030,343,311,0,1,0
25.140,354,311,0,1,0
25.260,369,310,0,1,0
25.370,381,311,0,1,0
25.490,385,311,0,1,0
25.610,387,310,0,1,0
25.720,388,309,0,1,0
25.840,391,310,0,1,0
25.950,404,310,0,1,0
26.080,416,309,0,1,0
26.190,418,308,0,1,0
26.310,421,309,0,1,0
26.430,420,309,0,1,0
26.540,417,310,0,1,0
26.660,418,310,0,1,0
26.770,422,311,0,1,0
26.880,423,312,0,1,0
27.000,423,313,0,1,0
27.120,420,311,0,1,0
27.250,414,311,0,1,0
27.370,410,310,0,1,0
27.490,409,311,0,1,0
27.590,406,311,0,1,0
27.700,392,312,0,1,0
27.820,378,312,0,1,0
27.930,367,311,0,1,0
28.050,347,311,0,1,0
28.160,335,310,0,1,0
28.280,327,309,0,1,0
28.390,323,308,0,1,0
28.510,322,308,0,1,0
28.620,321,308,0,1,0
28.740,318,308,0,1,0
28.860,314,307,0,1,0
28.980,313,308,0,1,0
29.090,314,309,0,1,0
29.200,312,309,0,1,0
29.320,313,310,0,1,0
29.430,312,310,0,1,0
29.550,310,311,0,1,0
29.670,309,312,0,1,0
29.790,309,311,0,1,0
29.920,306,309,0,1,0
30.030,303,308,0,1,0
30.150,300,306,0,0,0
30.280,299,306,0,0,0
30.380,300,306,0,0,0
30.490,300,305,0,0,0
30.600,301,305,0,0,0
30.710,301,305,0,0,0
30.830,301,305,0,0,0
30.960,301,305,0,0,0
31.080,302,306,0,0,0
31.200,302,306,0,0,0
31.300,302,306,0,0,0
31.420,302,306,0,0,0
31.540,302,306,0,0,0
31.670,301,305,0,0,0
31.790,302,306,0,0,0
31.910,301,305,0,0,0
32.030,301,305,0,0,0
32.150,302,306,0,0,0
32.270,304,306,0,0,0
32.400,305,307,0,1,0
32.520,303,307,0,1,0
32.640,298,307,0,0,0
32.760,288,307,0,0,1
32.880,271,307,0,0,0
32.990,256,308,0,1,0
33.110,243,309,0,1,0
33.220,225,310,0,1,0
33.330,204,312,0,1,0
33.450,190,312,0,1,0
33.570,179,312,0,1,0
33.680,168,314,0,1,0
33.790,162,314,0,1,0
33.900,161,315,0,1,0
34.020,158,313,0,1,0
34.130,157,313,0,1,0
34.250,155,312,0,1,0
34.370,154,312,0,1,0
34.480,155,311,0,1,0
34.590,156,312,0,1,0
34.710,156,312,0,1,0
34.830,157,311,0,1,0
34.940,159,309,0,1,0
35.050,160,308,0,1,0
35.170,166,307,0,1,0
35.280,176,308,0,1,0
35.400,184,308,0,1,0
35.520,195,309,0,1,0
35.640,208,311,0,1,0
35.760,211,312,0,1,0
35.870,212,312,0,1,0
35.990,217,310,0,1,0
36.110,230,312,0,1,0
36.220,235,311,0,1,0
36.340,237,312,0,1,0
36.470,244,312,0,1,0
36.590,249,310,0,1,0
36.710,255,309,0,1,0
36.820,255,309,0,1,0
36.940,257,308,0,1,0
37.060,258,307,0,1,0
37.160,259,307,0,1,0
37.270,259,307,0,1,0
37.390,258,307,0,1,0
37.500,258,307,0,1,0
37.610,261,307,0,1,0
37.730,262,307,0,1,0
37.850,262,307,0,1,0
37.970,266,306,0,1,0
38.090,269,306,0,0,0
38.210,268,307,0,0,0
38.330,269,308,0,0,0
38.440,271,309,0,0,0
38.570,273,310,0,0,0
38.690,274,310,0,0,0
38.810,274,310,0,0,0
38.930,273,310,0,0,0
39.040,272,310,0,0,0
39.150,273,310,0,0,0
39.270,273,310,0,0,0
39.390,270,309,0,0,0
39.500,269,309,0,0,0
39.620,269,309,0,0,0
39.740,271,310,0,0,0
39.860,273,311,0,0,0
39.970,275,311,0,0,0
40.080,275,312,0,0,0
40.200,275,312,0,0,0
40.320,274,311,0,0,0
40.440,274,310,0,0,0
40.560,280,309,0,0,1
40.670,284,308,0,0,1
40.780,286,308,0,0,1
40.910,287,307,0,0,1
41.010,287,306,0,0,1
41.140,287,305,0,0,1
41.260,287,305,0,0,1
41.370,287,305,0,0,1
41.480,285,305,0,0,1
41.600,286,306,0,0,1
41.710,292,306,0,0,1
41.820,303,308,0,0,0
41.940,316,309,0,1,0
42.050,337,311,0,1,0
42.170,358,312,0,1,0
42.280,374,311,0,1,0
42.400,389,310,0,1,0
42.510,406,310,0,1,0
42.620,414,309,0,1,0
42.740,420,308,0,1,0
