Time,Centre position X,Centre position Y
0.000,,
0.220,302,257
0.330,303,255
0.440,299,254
0.560,292,253
0.680,288,253
0.790,289,253
0.910,284,253
1.080,260,247
1.250,245,247
1.720,186,250
1.900,177,250
2.010,174,249
2.130,173,250
2.250,173,249
2.360,169,249
2.720,290,110
2.890,158,248
3.000,158,248
3.120,158,248
3.230,158,248
3.350,158,248
3.460,158,248
3.580,157,248
3.700,156,248
3.820,157,249
3.940,155,249
4.060,152,250
4.180,151,250
4.300,151,250
4.420,151,250
4.570,151,249
4.720,152,248
4.840,155,248
4.960,156,247
5.070,153,248
5.180,155,251
5.300,155,249
5.420,154,248
5.530,154,248
5.650,153,248
5.770,152,248
5.890,151,248
6.000,151,248
6.120,151,248
6.230,150,248
6.340,149,248
6.460,152,249
6.570,156,250
6.690,158,251
6.800,158,251
6.910,161,252
7.020,162,253
7.130,162,252
7.240,163,253
7.360,164,254
7.470,163,254
7.580,163,254
7.690,160,253
7.800,159,252
7.920,157,253
8.040,157,253
8.140,158,254
8.250,157,254
8.360,158,253
8.480,158,253
8.590,157,252
8.700,159,251
8.820,169,250
8.930,183,249
9.050,199,247
9.170,218,247
9.280,234,247
9.400,247,247
9.510,257,248
9.620,257,248
9.730,264,248
9.850,267,248
9.960,268,248
10.080,268,247
10.200,268,247
10.310,268,247
10.430,268,247
10.540,268,248
10.660,267,248
10.770,268,248
10.880,267,248
10.990,267,247
11.110,268,247
11.240,269,247
11.350,270,247
11.470,271,248
11.590,277,250
11.700,278,251
11.820,281,252
11.940,280,253
12.060,280,253
12.180,280,254
12.290,278,254
12.410,276,254
12.520,276,254
12.630,276,253
12.750,278,254
12.860,278,253
12.980,282,253
13.090,281,253
13.210,287,253
13.320,292,253
13.440,300,252
13.550,316,252
13.660,334,253
13.780,351,253
13.900,369,254
14.010,386,255
14.130,406,256
14.250,406,256
14.360,420,257
14.470,420,258
14.580,423,256
14.700,421,255
14.820,414,256
14.930,410,258
15.050,407,260
15.170,404,258
15.280,403,257
15.400,403,257
15.510,399,256
15.630,387,256
15.740,374,255
15.860,359,254
15.970,346,254
16.080,338,256
16.200,334,256
16.310,332,256
16.420,332,256
16.530,332,256
16.640,331,256
16.760,332,255
16.880,327,255
16.990,320,255
17.110,316,254
17.220,312,253
17.340,311,253
17.460,310,253
17.580,310,253
17.700,311,253
17.810,309,252
17.930,307,251
18.050,308,251
18.180,309,251
18.290,310,250
18.400,310,250
18.520,310,250
18.630,311,250
18.760,310,249
18.870,309,249
18.990,309,249
19.110,308,248
19.220,306,247
19.330,305,246
19.440,303,245
19.560,304,246
19.670,308,248
19.790,308,250
19.910,307,251
20.020,305,252
20.140,305,252
20.250,303,252
20.380,302,253
20.490,301,253
20.610,300,254
20.720,299,254
20.830,299,255
20.960,300,255
21.070,300,256
21.180,299,257
21.300,299,258
21.420,299,258
21.530,299,258
21.650,299,258
21.760,300,257
21.880,300,254
21.990,294,253
22.100,284,253
22.220,270,253
22.340,255,252
22.460,240,252
22.580,224,252
22.700,207,251
22.830,190,250
22.940,190,250
23.050,176,250
23.170,166,249
23.300,161,247
23.420,159,247
23.530,158,247
23.650,157,247
23.760,157,247
23.870,156,248
23.990,152,248
24.110,151,249
24.220,151,249
24.340,151,249
24.460,151,249
24.590,155,248
24.700,163,246
24.820,176,246
24.940,190,246
25.060,205,246
25.170,220,246
25.280,229,246
25.400,229,246
25.520,233,246
25.630,234,245
25.740,235,246
25.860,235,246
25.970,234,247
26.090,234,246
26.210,234,245
26.320,234,245
26.430,234,245
26.550,234,245
26.660,235,246
26.780,235,246
26.900,241,246
27.020,250,247
27.130,256,248
27.260,262,251
27.380,265,251
27.500,265,251
27.620,265,252
27.740,265,252
27.850,265,253
27.970,265,253
28.080,265,253
28.190,266,253
28.310,266,253
28.430,266,253
28.550,266,253
28.670,264,252
28.790,262,252
28.900,260,252
29.020,259,252
29.140,259,252
29.260,258,252
29.380,257,252
29.480,257,252
29.580,258,252
29.700,260,252
29.820,266,250
29.930,272,251
30.060,273,250
30.170,274,249
30.290,274,249
30.400,275,250
30.530,275,250
30.640,279,251
30.750,283,251
30.880,291,251
30.980,305,250
31.110,320,250
31.220,335,251
31.330,350,251
31.450,368,253
31.560,384,254
31.670,384,254
31.790,401,254
31.910,415,254
32.030,421,255
32.150,421,255
32.270,419,255
32.390,420,255
32.510,420,255
32.640,420,255
32.740,420,255
32.860,421,255
32.990,420,255
33.090,421,255
33.210,421,255
33.320,419,255
33.430,418,255
33.550,416,254
33.660,417,254
33.770,420,254
33.880,424,253
34.000,427,254
34.110,429,253
34.230,429,253
34.350,430,252
34.470,431,252
34.580,431,251
34.690,431,251
34.810,431,251
34.920,430,252
35.030,427,254
35.150,426,254
35.260,426,254
35.370,424,255
35.490,422,256
35.600,418,257
35.720,405,258
35.830,393,258
35.950,378,257
36.080,362,257
36.200,347,257
36.310,335,257
36.430,329,257
36.540,327,257
36.670,327,257
36.780,325,257
36.910,321,257
37.030,315,255
37.130,313,253
37.240,312,252
37.370,311,251
37.490,311,251
37.600,309,252
37.720,305,253
37.840,305,252
37.950,305,252
38.070,305,252
38.190,305,253
38.310,304,253
38.420,303,252
38.550,300,251
38.670,299,250
38.780,295,250
38.890,284,250
39.010,268,251
39.130,250,252
39.240,250,252
39.350,237,254
39.470,229,254
39.580,222,252
39.690,209,250
39.800,195,249
39.920,186,249
40.030,184,250
40.140,184,249
40.260,184,249
40.370,182,249
40.490,177,250
40.600,173,250
40.720,170,251
40.850,165,252
40.970,160,251
41.090,161,251
41.200,160,251
41.320,159,251
41.430,158,252
41.540,158,252
41.660,157,252
41.780,157,252
41.900,156,251
42.010,156,251
42.120,156,251
42.230,156,251
42.360,156,251
42.470,156,251
42.590,156,251
42.700,156,251
42.810,156,251
42.930,156,251
43.050,156,251
43.160,156,251
43.270,156,251
43.380,156,251
43.490,156,250
43.600,156,250
43.710,155,250
43.820,153,251
43.930,152,251
44.050,151,250
44.160,150,250
44.270,151,250
44.390,151,250
44.690,154,249
44.870,154,249
44.990,155,250
45.110,154,250
45.220,155,249
45.330,154,249
45.450,154,249
45.570,154,250
45.700,154,249
45.810,155,249
45.940,155,249
46.050,154,250
46.160,154,250
46.270,154,250
46.390,154,249
46.500,155,249
46.610,155,250
46.730,155,250
46.850,155,250
46.970,156,250
47.090,157,250
47.200,156,249
47.320,156,249
47.430,156,249
47.560,157,248
47.670,157,248
47.790,157,247
47.910,157,246
48.020,158,245
48.150,158,245
48.270,158,246
48.380,158,247
48.500,158,248
48.620,159,248
48.730,161,247
48.850,165,246
48.970,165,246
49.090,173,245
49.210,186,245
49.320,197,245
49.440,202,245
49.560,205,245
49.670,205,246
49.790,206,246
49.910,211,247
50.030,222,249
50.150,228,251
50.270,229,252
50.390,227,251
50.500,227,251
50.610,225,252
50.720,224,253
50.830,224,253
50.950,223,254
51.060,223,254
51.190,222,253
51.310,220,253
51.420,220,253
51.530,217,253
51.650,213,252
51.760,209,252
51.870,209,251
51.990,209,250
52.110,209,250
52.230,209,250
52.340,210,250
52.460,210,249
52.580,209,250
52.690,209,250
52.810,204,251
52.920,202,252
53.030,196,252
53.150,189,253
53.270,183,253
53.390,178,253
53.500,173,254
53.630,174,252
53.740,172,250
53.850,172,250
53.970,165,248
54.100,158,247
54.210,157,247
54.330,154,248
54.450,153,248
54.570,153,248
54.690,153,249
54.820,155,247
54.940,157,247
55.050,158,248
55.160,159,249
55.280,160,249
55.380,160,249
55.500,164,246
55.630,174,245
55.750,183,245
55.860,192,245
55.980,201,246
56.090,213,247
56.200,227,249
56.320,238,249
56.430,246,249
56.550,255,248
56.670,254,248
56.790,260,247
56.910,263,247
57.020,263,247
57.140,264,246
57.250,264,247
57.370,263,247
57.500,264,246
57.620,263,246
57.730,263,246
57.850,263,247
57.980,263,247
58.100,264,247
58.210,268,246
58.320,268,246
58.440,270,245
58.560,270,245
58.670,270,246
58.790,269,246
58.910,269,246
59.030,270,248
59.150,272,249
59.260,272,250
59.380,273,251
59.510,274,252
59.620,275,253
59.730,275,253
59.850,275,255
59.960,276,256
60.070,276,256
60.180,279,258
60.300,281,261
60.410,282,262
60.530,280,261
60.650,278,258
60.760,278,258
60.880,277,259
61.000,277,258
61.110,276,258
61.230,276,258
61.350,276,258
61.460,277,258
61.580,278,259
61.690,279,263
61.800,279,266
61.920,279,266
62.030,279,266
62.160,280,264
62.270,280,264
62.390,284,268
62.500,284,269
62.630,285,269
62.750,285,269
62.860,282,265
62.980,281,264
63.090,280,265
63.210,279,263
63.320,279,263
63.440,279,263
63.560,279,263
63.680,279,263
63.800,280,263
63.910,282,267
64.020,284,272
64.140,286,275
64.260,287,278
64.360,287,278
64.480,286,277
64.590,284,272
64.700,284,269
64.830,284,266
64.950,283,264
65.060,284,261
65.170,288,258
65.280,295,255
65.400,304,252
65.520,316,251
65.630,316,251
65.750,329,250
65.880,339,250
65.990,352,250
66.100,367,251
66.220,382,252
66.330,398,251
66.440,412,251
66.560,421,251
66.680,422,251
66.790,422,251
66.910,421,251
67.020,423,252
67.140,425,253
67.250,427,255
67.370,427,254
67.490,428,254
67.610,429,254
67.720,429,255
67.840,429,255
67.950,429,255
68.070,429,255
68.190,430,255
68.300,430,255
68.420,430,256
68.540,430,257
68.660,432,257
68.780,432,258
68.900,433,259
69.020,433,259
69.130,433,259
69.240,433,259
69.370,431,258
69.490,431,258
69.600,429,257
69.720,427,258
69.840,422,258
69.970,412,259
70.090,399,259
70.200,391,259
70.320,387,260
70.440,384,259
70.560,384,258
70.670,385,258
70.800,385,259
70.910,388,261
71.020,388,261
71.130,385,260
71.240,385,261
71.360,385,260
71.480,385,260
71.600,385,259
71.720,385,259
71.840,378,258
71.960,366,256
72.070,352,255
72.190,341,255
72.310,332,255
72.420,332,255
72.530,322,255
72.660,314,255
72.770,311,255
72.890,311,255
73.000,310,255
73.120,310,256
73.240,310,255
73.350,310,255
73.460,309,256
73.580,309,256
73.690,309,255
73.800,308,255
73.920,307,256
74.040,307,256
74.160,306,256
74.280,307,255
74.410,307,255
74.520,307,253
74.640,304,251
74.750,304,251
74.860,304,251
74.980,304,251
75.100,304,250
75.200,304,250
75.330,304,249
75.440,304,250
75.560,302,251
75.670,298,251
75.780,292,251
75.890,281,252
76.010,281,252
76.120,267,253
76.240,252,253
76.350,236,253
76.470,218,252
76.580,203,251
76.700,190,251
76.820,183,251
76.930,179,251
77.050,179,251
77.160,178,251
77.270,175,252
77.390,172,252
77.500,171,252
77.620,171,252
77.740,171,252
77.870,171,252
77.970,171,251
78.090,171,252
78.210,171,253
78.330,170,253
78.450,170,254
78.560,169,255
78.680,169,255
78.790,169,255
78.900,170,254
79.010,171,252
79.120,170,251
79.230,162,250
79.350,162,250
79.470,157,249
79.590,156,248
79.710,156,248
79.830,157,249
79.950,158,248
80.070,158,247
80.190,158,245
80.310,158,244
80.430,158,244
80.540,158,244
80.660,158,244
80.770,159,244
80.880,159,244
81.000,160,243
81.120,160,243
81.240,160,243
81.360,160,243
81.470,158,243
81.590,158,244
81.710,158,245
81.820,162,245
81.930,174,245
82.050,188,245
82.170,188,245
82.290,201,245
82.410,214,246
82.530,221,246
82.640,224,246
82.750,229,246
82.870,238,246
82.990,245,247
83.110,250,248
83.230,258,249
83.350,262,250
83.460,265,251
83.580,265,251
83.690,267,251
83.810,268,251
83.930,268,252
84.050,268,252
84.170,268,252
84.290,268,253
84.400,267,254
84.510,268,254
84.630,271,255
84.750,272,256
84.870,275,257
84.980,275,257
85.090,277,258
85.210,279,260
85.320,279,260
85.430,276,258
85.550,276,258
85.670,276,259
85.790,276,258
85.920,278,258
86.040,281,262
86.160,283,267
86.270,284,273
86.380,284,273
86.490,286,277
86.620,286,280
86.740,285,284
86.860,285,287
86.970,285,287
87.090,285,284
87.200,285,281
87.310,284,281
87.430,284,281
87.540,284,281
87.640,284,280
87.770,284,277
87.890,283,276
88.020,283,274
88.130,283,274
88.230,283,274
88.340,283,275
88.460,284,277
88.580,283,282
88.700,283,282
88.820,283,288
88.940,283,291
89.060,282,293
89.180,282,294
89.290,283,293
89.420,283,291
89.530,285,291
89.640,286,292
89.750,288,295
89.870,288,295
89.980,288,296
90.110,288,295
90.230,286,290
90.350,285,285
90.470,284,282
90.570,284,281
90.690,284,280
90.820,284,278
90.940,286,276
91.060,289,271
91.180,295,262
91.290,302,256
91.400,302,256
91.520,311,252
91.640,322,250
91.760,334,250
91.880,350,251
92.000,368,252
92.110,385,252
92.230,400,252
92.350,411,251
92.470,417,250
92.590,420,251
92.700,423,252
92.810,423,252
92.940,426,252
93.050,427,251
93.170,428,251
93.290,428,252
93.410,428,252
93.530,428,251
93.640,428,252
93.750,428,252
93.870,428,252
93.980,429,252
94.100,431,253
94.200,431,253
94.330,432,253
94.440,433,253
94.560,433,254
94.680,433,254
94.790,433,255
94.910,433,256
95.020,433,256
95.150,432,256
95.260,432,256
95.370,432,256
95.490,432,256
95.600,432,256
95.720,431,255
95.830,430,256
95.950,429,257
96.060,428,256
96.180,428,256
96.280,428,256
96.400,428,256
96.510,428,255
96.620,427,255
96.740,427,256
96.850,424,256
96.970,418,257
97.080,410,259
97.200,403,258
97.310,394,257
97.430,387,255
97.540,387,255
97.660,387,255
97.780,386,256
97.900,384,256
98.000,375,257
98.110,369,257
98.220,367,259
98.340,365,257
98.470,365,258
98.580,365,258
98.700,364,258
98.820,364,258
98.930,364,259
99.050,363,260
99.160,363,260
99.280,364,260
99.400,364,260
99.520,364,260
99.630,364,259
99.740,362,258
99.870,356,257
99.980,349,257
100.110,340,256
100.230,340,256
100.340,334,256
100.450,330,255
100.570,327,254
100.680,326,254
100.790,326,254
100.910,322,252
101.020,316,250
101.130,316,250
101.240,315,250
101.350,315,250
101.470,316,249
101.590,315,249
101.710,315,249
101.820,315,249
101.950,313,249
102.070,309,248
102.190,307,248
102.310,306,247
102.420,306,247
102.540,306,247
102.650,304,247
102.780,303,246
102.890,303,246
103.010,302,246
103.120,302,246
103.250,300,244
103.370,300,244
103.480,300,244
103.600,300,244
103.720,300,244
103.840,300,244
103.950,301,244
104.070,302,244
104.190,301,243
104.300,300,242
104.420,302,243
104.530,303,244
104.650,304,244
104.770,305,245
104.880,305,245
105.000,305,245
105.110,305,245
105.220,305,245
105.330,304,245
105.440,299,243
105.560,297,241
105.680,295,239
105.800,298,241
105.910,300,244
106.030,302,246
106.150,300,248
106.260,300,248
106.370,295,250
106.480,288,251
106.590,278,252
106.710,264,253
106.820,248,253
106.940,233,253
107.050,221,253
107.170,207,253
107.290,207,253
107.400,195,252
107.530,186,251
107.640,177,249
107.760,170,247
107.890,165,246
108.000,162,247
108.120,160,247
108.240,157,247
108.350,154,247
108.460,154,247
108.570,154,247
108.690,155,246
108.800,155,246
108.920,155,246
109.040,155,247
109.150,155,246
109.260,155,247
109.370,155,247
109.500,155,247
109.610,155,247
109.720,155,246
109.830,155,247
109.950,155,247
110.060,154,247
110.180,153,247
110.300,152,248
110.420,152,248
110.540,152,248
110.670,153,248
110.770,152,248
110.890,153,248
111.010,153,247
111.120,153,247
111.240,152,248
111.350,152,247
111.470,152,247
111.570,152,247
111.690,153,247
111.810,153,247
111.920,153,247
112.040,153,247
112.160,154,247
112.270,154,247
112.380,154,247
112.490,154,246
112.610,155,246
112.720,154,246
112.840,154,246
112.960,155,246
113.080,155,246
113.190,155,246
113.300,155,246
113.430,155,246
113.550,155,246
113.660,154,247
113.780,151,248
113.890,152,248
114.010,149,250
114.140,149,249
114.250,149,248
114.380,148,249
114.500,147,250
114.610,147,250
114.730,147,250
114.850,147,249
114.960,147,250
115.080,147,250
115.200,147,251
115.330,147,251
115.440,147,251
115.550,147,251
115.660,147,251
115.770,147,251
115.890,148,250
116.000,148,250
116.120,147,250
116.240,147,250
116.360,148,250
116.470,148,248
116.580,147,246
116.690,147,247
116.800,147,247
116.920,147,246
117.040,147,246
117.150,144,246
117.260,147,245
117.380,147,245
117.500,147,245
117.620,147,246
117.740,147,246
117.860,149,248
117.970,151,248
118.090,150,249
118.200,150,249
118.320,149,250
118.440,149,250
118.550,148,250
118.670,149,249
118.780,150,248
118.900,152,248
119.010,152,248
119.120,152,247
119.240,152,248
119.370,153,248
119.490,152,248
119.600,152,248
119.720,152,248
119.830,152,247
119.950,152,248
120.070,152,248
120.180,153,247
120.300,153,248
120.420,154,247
120.540,155,247
120.660,162,246
120.780,174,245
120.900,187,245
121.020,200,245
121.140,213,246
121.260,213,246
121.380,224,246
121.490,230,246
121.600,233,245
121.720,235,247
121.840,240,247
121.960,248,249
122.080,256,249
122.190,264,249
122.310,268,250
